c++ logs
PS D:\Embdedd Linux\computer Vision\Drowsiness Detection> .\build\bin\Release\DrowsinessDetector.exe
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
Press ESC to exit
Total Processed Frames: 823
MessagePublisher: Shutdown complete. Stats - Sent: 293, Failed: 0
Logger shutdown complete
System shutdown complete
Number Of Memory Allocations: 582401
Total allocated size: 22550981470 bytes
Number Of Memory Deallocations: 445729
Total freed size: 22465692653 bytes
Net memory allocated (should be 0): 85288817 bytes
Memory efficiency: 99.6218%
Average allocation size: 38720.7 bytes
Allocations per frame: 707.656


Pyhton subcriber logs


2025-09-12 16:53:36,717 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m51s_777.jpg
2025-09-12 16:53:38,276 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m52s_277.jpg
2025-09-12 16:53:40,190 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m52s_777.jpg
2025-09-12 16:53:41,792 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m53s_273.jpg
2025-09-12 16:53:43,433 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m53s_799.jpg
2025-09-12 16:53:45,025 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m54s_302.jpg
2025-09-12 16:53:46,647 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m54s_841.jpg
2025-09-12 16:53:48,292 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m55s_323.jpg
2025-09-12 16:53:49,829 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m55s_818.jpg
2025-09-12 16:53:51,379 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m56s_310.jpg
2025-09-12 16:53:52,894 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m56s_856.jpg
2025-09-12 16:53:54,389 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m57s_310.jpg
2025-09-12 16:53:55,886 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m57s_797.jpg
2025-09-12 16:53:57,497 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m58s_323.jpg
2025-09-12 16:53:59,065 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m58s_839.jpg
2025-09-12 16:54:00,638 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m59s_338.jpg
2025-09-12 16:54:02,196 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m59s_851.jpg
2025-09-12 16:54:03,774 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m00s_323.jpg
2025-09-12 16:54:05,339 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m00s_769.jpg
2025-09-12 16:54:06,894 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m01s_228.jpg
2025-09-12 16:54:08,417 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m01s_722.jpg
2025-09-12 16:54:09,930 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m02s_156.jpg
2025-09-12 16:54:11,435 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m02s_604.jpg
2025-09-12 16:54:12,923 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m03s_044.jpg
2025-09-12 16:54:14,425 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m03s_511.jpg
2025-09-12 16:54:15,979 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m03s_943.jpg
2025-09-12 16:54:17,564 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m04s_385.jpg
2025-09-12 16:54:19,147 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m04s_815.jpg
2025-09-12 16:54:20,905 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m05s_293.jpg
2025-09-12 16:54:22,416 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m33s_319.jpg
2025-09-12 16:54:23,987 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m33s_765.jpg
2025-09-12 16:54:25,543 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m34s_257.jpg
2025-09-12 16:54:27,061 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m34s_771.jpg
2025-09-12 16:54:27,295 - DrowsinessCloudService - INFO - Successfully uploaded JSONL: logs/2025/09/12/events_165427.jsonl
2025-09-12 16:54:27,295 - DrowsinessCloudService - INFO - Uploaded batch of 38 events to logs/2025/09/12/events_165427.jsonl
2025-09-12 16:54:28,785 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m35s_246.jpg
2025-09-12 16:54:30,319 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m35s_762.jpg
2025-09-12 16:54:31,843 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m36s_298.jpg
2025-09-12 16:54:33,365 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m36s_716.jpg
2025-09-12 16:54:35,042 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m37s_205.jpg
2025-09-12 16:54:36,480 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m37s_684.jpg
2025-09-12 16:54:37,877 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m38s_219.jpg
2025-09-12 16:54:39,566 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m38s_724.jpg
2025-09-12 16:54:41,100 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m39s_168.jpg
2025-09-12 16:54:42,544 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m39s_666.jpg
2025-09-12 16:54:44,030 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m40s_103.jpg
2025-09-12 16:54:45,495 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m40s_538.jpg
2025-09-12 16:54:47,057 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m41s_015.jpg
2025-09-12 16:54:48,490 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m41s_493.jpg
2025-09-12 16:54:49,892 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m41s_970.jpg
2025-09-12 16:54:51,398 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m42s_392.jpg
2025-09-12 16:54:52,854 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m42s_867.jpg
2025-09-12 16:54:54,288 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m43s_319.jpg
2025-09-12 16:54:55,735 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m43s_743.jpg
2025-09-12 16:54:57,183 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m44s_193.jpg
2025-09-12 16:54:58,736 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m44s_636.jpg
2025-09-12 16:55:00,326 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m45s_110.jpg
2025-09-12 16:55:01,766 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m45s_575.jpg
2025-09-12 16:55:03,238 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m46s_063.jpg
2025-09-12 16:55:04,677 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m46s_529.jpg
2025-09-12 16:55:06,082 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m46s_953.jpg
2025-09-12 16:55:07,771 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m47s_400.jpg
2025-09-12 16:55:09,208 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m47s_866.jpg
2025-09-12 16:55:11,287 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m48s_294.jpg
2025-09-12 16:55:12,709 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m48s_759.jpg
2025-09-12 16:55:14,151 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m49s_219.jpg
2025-09-12 16:55:15,679 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m49s_673.jpg
2025-09-12 16:55:17,255 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m50s_122.jpg
2025-09-12 16:55:18,751 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m50s_603.jpg
2025-09-12 16:55:20,275 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m51s_029.jpg
2025-09-12 16:55:21,801 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m51s_503.jpg
2025-09-12 16:55:23,296 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m51s_944.jpg
2025-09-12 16:55:24,825 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m52s_435.jpg
2025-09-12 16:55:26,307 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m52s_866.jpg
2025-09-12 16:55:27,803 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m53s_395.jpg
2025-09-12 16:55:28,041 - DrowsinessCloudService - INFO - Successfully uploaded JSONL: logs/2025/09/12/events_165527.jsonl
2025-09-12 16:55:28,043 - DrowsinessCloudService - INFO - Uploaded batch of 40 events to logs/2025/09/12/events_165527.jsonl
2025-09-12 16:55:29,498 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m53s_843.jpg
2025-09-12 16:55:30,973 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m54s_333.jpg
2025-09-12 16:55:32,428 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m54s_791.jpg
2025-09-12 16:55:33,954 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m55s_263.jpg
2025-09-12 16:55:35,507 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m55s_709.jpg
2025-09-12 16:55:37,002 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m56s_191.jpg
2025-09-12 16:55:38,646 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m56s_619.jpg
2025-09-12 16:55:40,338 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m57s_082.jpg
2025-09-12 16:55:43,149 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m57s_574.jpg
2025-09-12 16:55:46,590 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m58s_035.jpg
2025-09-12 16:55:48,207 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m58s_520.jpg
2025-09-12 16:55:50,096 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m59s_019.jpg
2025-09-12 16:55:51,959 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h53m59s_499.jpg
2025-09-12 16:55:53,496 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m00s_008.jpg
2025-09-12 16:55:55,029 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m00s_439.jpg
