2025-08-07 03:22:32 | State: DROWSY | EAR: 0.243676 | MAR: 0.368484 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:32 | State: DROWSY | EAR: 0.236705 | MAR: 0.353928 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:32 | State: DROWSY | EAR: 0.24883 | MAR: 0.354357 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:32 | State: DROWSY | EAR: 0.243404 | MAR: 0.363494 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:32 | State: DROWSY | EAR: 0.244974 | MAR: 0.353763 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:46 | State: DROWSY | EAR: 0.0479801 | MAR: 0.353745 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:46 | State: DROWSY | EAR: 0.0636864 | MAR: 0.3752 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:47 | State: DROWSY | EAR: 0.0661306 | MAR: 0.38323 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:47 | State: DROWSY | EAR: 0.0873033 | MAR: 0.358981 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:47 | State: DROWSY | EAR: 0.0799663 | MAR: 0.378757 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
